# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	310
#@/user_id	1562f873-abc2-4831-9f9f-3340be45a13d
a 	啊	c=6 d=3.55489 t=310
xiao he shuang pin 	小鹤双拼	c=5 d=4.34029 t=310
xu yao 	需要	c=1 d=0.980199 t=310
yan zheng ma 	验证码	c=1 d=0.744531 t=310
yi 	一	c=1 d=0.83527 t=310
yi bao 	医保	c=1 d=0.927743 t=310
yi ge 	一个	c=3 d=2.53101 t=310
yin wen 	引文	c=1 d=0.782705 t=310
ying wen 	英文	c=1 d=0.985112 t=310
you dian 	有点	c=1 d=0.690735 t=310
you mei you 	有没有	c=1 d=0.923116 t=310
zhang 	张	c=1 d=0.81873 t=310
zhe cai chi 	这才吃	c=1 d=0.831105 t=310
zhe ge 	着哥	c=1 d=0.718924 t=310
zhe ge 	这个	c=21 d=13.6547 t=310
zhe ge ban fa 	这个办法	c=1 d=0.802519 t=310
zhe li 	这里	c=2 d=1.82878 t=310
zhe me 	这么	c=1 d=0.995012 t=310
zhe xia 	这下	c=1 d=0.704688 t=310
zhen de 	真的	c=6 d=3.72441 t=310
zhen jiu 	针灸	c=2 d=1.97516 t=310
zhi 	值	c=1 d=1 t=310
zhong 	中	c=1 d=0.932394 t=310
zhong wen 	中文	c=1 d=0.771051 t=310
zhong yao 	重要	c=2 d=1.78724 t=310
zi 	子	c=1 d=0.70822 t=310
zi ding yi 	自定义	c=1 d=0.722528 t=310
zuo 	做	c=0 d=0.0941765 t=310
