# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	7086
#@/user_id	76c8a36a-966b-414b-94e3-75dde62f30cd
bu xu yao 	不需要	c=1 d=1.13686e-09 t=7086
bu yao 	不要	c=6 d=0.68058 t=7086
bu ying gai 	不应该	c=2 d=0.000841773 t=7086
bu yong 	不用	c=2 d=0.00400589 t=7086
bu zai 	不再	c=1 d=5.31488e-06 t=7086
bu zhan shi 	不展示	c=1 d=8.12959e-06 t=7086
bu zhao ji 	不着急	c=2 d=0.557106 t=7086
bu zhi dao 	不知道	c=3 d=0.498552 t=7086
bu zhi jie 	不直接	c=1 d=1.00051e-06 t=7086
bu zhou 	步骤	c=1 d=9.95521e-07 t=7086
bu zu 	不足	c=2 d=0.101789 t=7086
cai 	才	c=2 d=0.056836 t=7086
cai 	猜	c=1 d=0.165299 t=7086
cai dan 	菜单	c=22 d=2.90581 t=7086
cai gou 	采购	c=13 d=2.13873 t=7086
cai gou ji hua 	采购计划	c=1 d=0.239309 t=7086
cai gou jing li 	采购经理	c=1 d=0.22313 t=7086
cai hui 	才会	c=1 d=0.767206 t=7086
cai ke yi 	才可以	c=1 d=6.22203e-07 t=7086
cai neng 	才能	c=3 d=0.0762984 t=7086
cai wu 	财务	c=1 d=0.0130365 t=7086
cai yong 	采用	c=1 d=0.416862 t=7086
can kao 	参考	c=3 d=1.21013 t=7086
can shu 	参数	c=8 d=0.00329221 t=7086
cang jin 	藏进	c=1 d=0.606531 t=7086
cao zuo 	操作	c=8 d=1.76745 t=7086
cao zuo jian 	操作键	c=1 d=0.472366 t=7086
ce chu 	测出	c=1 d=0.66034 t=7086
ce lve 	策略	c=1 d=0.0065062 t=7086
ce shi 	测试	c=19 d=0.955997 t=7086
cha dao 	查到	c=1 d=0.000567086 t=7086
cha jian 	插件	c=1 d=1.12264e-08 t=7086
cha ju 	差距	c=1 d=1.55403e-10 t=7086
cha kan 	查看	c=5 d=0.410656 t=7086
cha xun 	查询	c=1 d=0.76338 t=7086
chai you 	柴油	c=1 d=1.04404e-07 t=7086
chan pin 	产品	c=3 d=0.0222207 t=7086
chang cheng 	长城	c=1 d=2.25449e-05 t=7086
chang jing 	场景	c=2 d=0.609571 t=7086
chang zi 	肠子	c=0 d=4.68065e-12 t=7086
chang zi li 	厂子里	c=0 d=4.70411e-12 t=7086
chang zi li mian 	厂子里面	c=1 d=4.72769e-11 t=7086
chang zi li mian 	肠子里面	c=1 d=4.70411e-11 t=7086
